,cell_type
i1883,U-937(pSCoPE_Leduc)
i1885,U-937(pSCoPE_Leduc)
i1886,U-937(pSCoPE_Leduc)
i1887,U-937(pSCoPE_Leduc)
i1888,U-937(pSCoPE_Leduc)
i189,U-937(pSCoPE_Leduc)
i1895,Melanoma(pSCoPE_Leduc)
i1896,Melanoma(pSCoPE_Leduc)
i1897,Melanoma(pSCoPE_Leduc)
i1898,Melanoma(pSCoPE_Leduc)
i1899,Melanoma(pSCoPE_Leduc)
i1900,U-937(pSCoPE_Leduc)
i1901,U-937(pSCoPE_Leduc)
i1902,U-937(pSCoPE_Leduc)
i1903,U-937(pSCoPE_Leduc)
i1904,U-937(pSCoPE_Leduc)
i1905,U-937(pSCoPE_Leduc)
i1907,Melanoma(pSCoPE_Leduc)
i1913,Melanoma(pSCoPE_Leduc)
i1914,Melanoma(pSCoPE_Leduc)
i1915,Melanoma(pSCoPE_Leduc)
i1916,Melanoma(pSCoPE_Leduc)
i1917,U-937(pSCoPE_Leduc)
i1918,U-937(pSCoPE_Leduc)
i1919,U-937(pSCoPE_Leduc)
i192,Melanoma(pSCoPE_Leduc)
i1920,U-937(pSCoPE_Leduc)
i1921,U-937(pSCoPE_Leduc)
i1922,U-937(pSCoPE_Leduc)
i1924,Melanoma(pSCoPE_Leduc)
i1926,Melanoma(pSCoPE_Leduc)
i193,Melanoma(pSCoPE_Leduc)
i1931,Melanoma(pSCoPE_Leduc)
i1932,Melanoma(pSCoPE_Leduc)
i1933,Melanoma(pSCoPE_Leduc)
i1934,U-937(pSCoPE_Leduc)
i1935,U-937(pSCoPE_Leduc)
i1936,U-937(pSCoPE_Leduc)
i1937,U-937(pSCoPE_Leduc)
i1938,U-937(pSCoPE_Leduc)
i1939,U-937(pSCoPE_Leduc)
i194,Melanoma(pSCoPE_Leduc)
i1940,U-937(pSCoPE_Leduc)
i1941,Melanoma(pSCoPE_Leduc)
i1942,Melanoma(pSCoPE_Leduc)
i1943,Melanoma(pSCoPE_Leduc)
i1944,Melanoma(pSCoPE_Leduc)
i1949,Melanoma(pSCoPE_Leduc)
i195,Melanoma(pSCoPE_Leduc)
i1950,U-937(pSCoPE_Leduc)
i1951,U-937(pSCoPE_Leduc)
i1953,U-937(pSCoPE_Leduc)
i1954,U-937(pSCoPE_Leduc)
i1955,U-937(pSCoPE_Leduc)
i1956,U-937(pSCoPE_Leduc)
i1958,Melanoma(pSCoPE_Leduc)
i1959,Melanoma(pSCoPE_Leduc)
i196,Melanoma(pSCoPE_Leduc)
i1960,Melanoma(pSCoPE_Leduc)
i1961,Melanoma(pSCoPE_Leduc)
i1962,Melanoma(pSCoPE_Leduc)
i1967,U-937(pSCoPE_Leduc)
i1968,U-937(pSCoPE_Leduc)
i1969,U-937(pSCoPE_Leduc)
i197,Melanoma(pSCoPE_Leduc)
i1970,U-937(pSCoPE_Leduc)
i1971,U-937(pSCoPE_Leduc)
i1972,U-937(pSCoPE_Leduc)
i1973,U-937(pSCoPE_Leduc)
i1975,Melanoma(pSCoPE_Leduc)
i1977,Melanoma(pSCoPE_Leduc)
i1978,Melanoma(pSCoPE_Leduc)
i1979,Melanoma(pSCoPE_Leduc)
i198,U-937(pSCoPE_Leduc)
i1980,Melanoma(pSCoPE_Leduc)
i1986,U-937(pSCoPE_Leduc)
i1987,U-937(pSCoPE_Leduc)
i1988,U-937(pSCoPE_Leduc)
i1989,U-937(pSCoPE_Leduc)
i1990,U-937(pSCoPE_Leduc)
i1992,Melanoma(pSCoPE_Leduc)
i1993,Melanoma(pSCoPE_Leduc)
i1994,Melanoma(pSCoPE_Leduc)
i1995,Melanoma(pSCoPE_Leduc)
i1996,Melanoma(pSCoPE_Leduc)
i1997,Melanoma(pSCoPE_Leduc)
i1998,U-937(pSCoPE_Leduc)
i2003,U-937(pSCoPE_Leduc)
i2004,U-937(pSCoPE_Leduc)
i2005,U-937(pSCoPE_Leduc)
i2006,U-937(pSCoPE_Leduc)
i2007,U-937(pSCoPE_Leduc)
i2009,Melanoma(pSCoPE_Leduc)
i2010,Melanoma(pSCoPE_Leduc)
i2011,Melanoma(pSCoPE_Leduc)
i2012,Melanoma(pSCoPE_Leduc)
i2013,Melanoma(pSCoPE_Leduc)
i2014,Melanoma(pSCoPE_Leduc)
i2016,U-937(pSCoPE_Leduc)
i2021,Melanoma(pSCoPE_Leduc)
i2022,Melanoma(pSCoPE_Leduc)
i2023,Melanoma(pSCoPE_Leduc)
i2024,Melanoma(pSCoPE_Leduc)
i2025,Melanoma(pSCoPE_Leduc)
i2026,Melanoma(pSCoPE_Leduc)
i2027,Melanoma(pSCoPE_Leduc)
i2029,U-937(pSCoPE_Leduc)
i203,U-937(pSCoPE_Leduc)
i2030,U-937(pSCoPE_Leduc)
i2031,U-937(pSCoPE_Leduc)
i2032,U-937(pSCoPE_Leduc)
i2033,U-937(pSCoPE_Leduc)
i2039,Melanoma(pSCoPE_Leduc)
i204,U-937(pSCoPE_Leduc)
i2040,Melanoma(pSCoPE_Leduc)
i2041,Melanoma(pSCoPE_Leduc)
i2042,Melanoma(pSCoPE_Leduc)
i2043,Melanoma(pSCoPE_Leduc)
i2044,Melanoma(pSCoPE_Leduc)
i2045,U-937(pSCoPE_Leduc)
i2046,U-937(pSCoPE_Leduc)
i2047,U-937(pSCoPE_Leduc)
i2048,U-937(pSCoPE_Leduc)
i2049,U-937(pSCoPE_Leduc)
i205,U-937(pSCoPE_Leduc)
i2050,U-937(pSCoPE_Leduc)
i2052,Melanoma(pSCoPE_Leduc)
i2057,Melanoma(pSCoPE_Leduc)
i2058,Melanoma(pSCoPE_Leduc)
i2059,Melanoma(pSCoPE_Leduc)
i206,U-937(pSCoPE_Leduc)
i2061,Melanoma(pSCoPE_Leduc)
i2062,U-937(pSCoPE_Leduc)
i2063,U-937(pSCoPE_Leduc)
i2064,U-937(pSCoPE_Leduc)
i2065,U-937(pSCoPE_Leduc)
i2066,U-937(pSCoPE_Leduc)
i2067,U-937(pSCoPE_Leduc)
i2069,Melanoma(pSCoPE_Leduc)
i207,U-937(pSCoPE_Leduc)
i2070,Melanoma(pSCoPE_Leduc)
i2075,Melanoma(pSCoPE_Leduc)
i2076,Melanoma(pSCoPE_Leduc)
i2078,Melanoma(pSCoPE_Leduc)
i2079,U-937(pSCoPE_Leduc)
i2081,U-937(pSCoPE_Leduc)
i2082,U-937(pSCoPE_Leduc)
i2086,Melanoma(pSCoPE_Leduc)
i2087,Melanoma(pSCoPE_Leduc)
i2088,Melanoma(pSCoPE_Leduc)
i209,Melanoma(pSCoPE_Leduc)
i2094,Melanoma(pSCoPE_Leduc)
i2095,Melanoma(pSCoPE_Leduc)
i2096,U-937(pSCoPE_Leduc)
i2097,U-937(pSCoPE_Leduc)
i2099,U-937(pSCoPE_Leduc)
i210,Melanoma(pSCoPE_Leduc)
i2100,U-937(pSCoPE_Leduc)
i2101,U-937(pSCoPE_Leduc)
i2102,U-937(pSCoPE_Leduc)
i2103,Melanoma(pSCoPE_Leduc)
i2104,Melanoma(pSCoPE_Leduc)
i2105,Melanoma(pSCoPE_Leduc)
i2106,Melanoma(pSCoPE_Leduc)
i211,Melanoma(pSCoPE_Leduc)
i2111,Melanoma(pSCoPE_Leduc)
i2112,U-937(pSCoPE_Leduc)
i2113,U-937(pSCoPE_Leduc)
i2114,U-937(pSCoPE_Leduc)
i2115,U-937(pSCoPE_Leduc)
i2116,U-937(pSCoPE_Leduc)
i2117,U-937(pSCoPE_Leduc)
i2118,U-937(pSCoPE_Leduc)
i212,Melanoma(pSCoPE_Leduc)
i2120,Melanoma(pSCoPE_Leduc)
i2121,Melanoma(pSCoPE_Leduc)
i2122,Melanoma(pSCoPE_Leduc)
i2123,Melanoma(pSCoPE_Leduc)
i2124,Melanoma(pSCoPE_Leduc)
i2129,U-937(pSCoPE_Leduc)
i213,Melanoma(pSCoPE_Leduc)
i2130,U-937(pSCoPE_Leduc)
i2132,U-937(pSCoPE_Leduc)
i2133,U-937(pSCoPE_Leduc)
i2134,U-937(pSCoPE_Leduc)
i2135,U-937(pSCoPE_Leduc)
i2137,Melanoma(pSCoPE_Leduc)
i2138,Melanoma(pSCoPE_Leduc)
i2139,Melanoma(pSCoPE_Leduc)
i214,Melanoma(pSCoPE_Leduc)
i2140,Melanoma(pSCoPE_Leduc)
i2141,Melanoma(pSCoPE_Leduc)
i2142,Melanoma(pSCoPE_Leduc)
i2147,U-937(pSCoPE_Leduc)
i2148,U-937(pSCoPE_Leduc)
i2149,U-937(pSCoPE_Leduc)
i215,U-937(pSCoPE_Leduc)
i2150,U-937(pSCoPE_Leduc)
i2151,U-937(pSCoPE_Leduc)
i2152,U-937(pSCoPE_Leduc)
i2154,Melanoma(pSCoPE_Leduc)
i2155,Melanoma(pSCoPE_Leduc)
i2156,Melanoma(pSCoPE_Leduc)
i2157,Melanoma(pSCoPE_Leduc)
i2158,Melanoma(pSCoPE_Leduc)
i216,U-937(pSCoPE_Leduc)
i2160,U-937(pSCoPE_Leduc)
i2165,U-937(pSCoPE_Leduc)
i2166,U-937(pSCoPE_Leduc)
i2167,U-937(pSCoPE_Leduc)
i2168,U-937(pSCoPE_Leduc)
i2169,U-937(pSCoPE_Leduc)
i2171,Melanoma(pSCoPE_Leduc)
i2172,Melanoma(pSCoPE_Leduc)
i2173,Melanoma(pSCoPE_Leduc)
i2175,Melanoma(pSCoPE_Leduc)
i2176,Melanoma(pSCoPE_Leduc)
i2177,U-937(pSCoPE_Leduc)
i2178,U-937(pSCoPE_Leduc)
i2183,Melanoma(pSCoPE_Leduc)
i2184,Melanoma(pSCoPE_Leduc)
i2185,Melanoma(pSCoPE_Leduc)
i2186,Melanoma(pSCoPE_Leduc)
i2187,Melanoma(pSCoPE_Leduc)
i2188,Melanoma(pSCoPE_Leduc)
i2189,Melanoma(pSCoPE_Leduc)
i2190,U-937(pSCoPE_Leduc)
i2191,U-937(pSCoPE_Leduc)
i2192,U-937(pSCoPE_Leduc)
i2193,U-937(pSCoPE_Leduc)
i2194,U-937(pSCoPE_Leduc)
i2195,U-937(pSCoPE_Leduc)
i2201,Melanoma(pSCoPE_Leduc)
i2202,Melanoma(pSCoPE_Leduc)
i2203,Melanoma(pSCoPE_Leduc)
i2204,Melanoma(pSCoPE_Leduc)
i2205,Melanoma(pSCoPE_Leduc)
i2206,Melanoma(pSCoPE_Leduc)
i2207,U-937(pSCoPE_Leduc)
i2208,U-937(pSCoPE_Leduc)
i2209,U-937(pSCoPE_Leduc)
i221,Melanoma(pSCoPE_Leduc)
i2211,U-937(pSCoPE_Leduc)
i2214,Melanoma(pSCoPE_Leduc)
i2219,Melanoma(pSCoPE_Leduc)
i222,Melanoma(pSCoPE_Leduc)
i2220,Melanoma(pSCoPE_Leduc)
i2221,Melanoma(pSCoPE_Leduc)
i2223,Melanoma(pSCoPE_Leduc)
i2224,U-937(pSCoPE_Leduc)
i2225,U-937(pSCoPE_Leduc)
i2228,U-937(pSCoPE_Leduc)
i2229,U-937(pSCoPE_Leduc)
i2231,Melanoma(pSCoPE_Leduc)
i2232,Melanoma(pSCoPE_Leduc)
i2237,Melanoma(pSCoPE_Leduc)
i2238,Melanoma(pSCoPE_Leduc)
i2239,Melanoma(pSCoPE_Leduc)
i224,Melanoma(pSCoPE_Leduc)
i2240,Melanoma(pSCoPE_Leduc)
i2241,U-937(pSCoPE_Leduc)
i2242,U-937(pSCoPE_Leduc)
i2244,U-937(pSCoPE_Leduc)
i2245,U-937(pSCoPE_Leduc)
i2246,U-937(pSCoPE_Leduc)
i2248,Melanoma(pSCoPE_Leduc)
i2249,Melanoma(pSCoPE_Leduc)
i225,Melanoma(pSCoPE_Leduc)
i2250,Melanoma(pSCoPE_Leduc)
i2255,Melanoma(pSCoPE_Leduc)
i2256,Melanoma(pSCoPE_Leduc)
i2257,Melanoma(pSCoPE_Leduc)
i2258,U-937(pSCoPE_Leduc)
i2259,U-937(pSCoPE_Leduc)
i2260,U-937(pSCoPE_Leduc)
i2261,U-937(pSCoPE_Leduc)
i2262,U-937(pSCoPE_Leduc)
i2263,U-937(pSCoPE_Leduc)
i2264,U-937(pSCoPE_Leduc)
i2265,Melanoma(pSCoPE_Leduc)
i2266,Melanoma(pSCoPE_Leduc)
i2267,Melanoma(pSCoPE_Leduc)
i2268,Melanoma(pSCoPE_Leduc)
i227,Melanoma(pSCoPE_Leduc)
i2273,Melanoma(pSCoPE_Leduc)
i2274,U-937(pSCoPE_Leduc)
i2275,U-937(pSCoPE_Leduc)
i2276,U-937(pSCoPE_Leduc)
i2277,U-937(pSCoPE_Leduc)
i2278,U-937(pSCoPE_Leduc)
i2279,U-937(pSCoPE_Leduc)
i228,U-937(pSCoPE_Leduc)
i2280,U-937(pSCoPE_Leduc)
i2282,Melanoma(pSCoPE_Leduc)
i2283,Melanoma(pSCoPE_Leduc)
i2284,Melanoma(pSCoPE_Leduc)
i2285,Melanoma(pSCoPE_Leduc)
i2286,Melanoma(pSCoPE_Leduc)
i229,U-937(pSCoPE_Leduc)
i2291,U-937(pSCoPE_Leduc)
i2292,U-937(pSCoPE_Leduc)
i2293,U-937(pSCoPE_Leduc)
i2294,U-937(pSCoPE_Leduc)
i2296,U-937(pSCoPE_Leduc)
i2297,U-937(pSCoPE_Leduc)
i2299,Melanoma(pSCoPE_Leduc)
i23,U-937(pSCoPE_Leduc)
i230,U-937(pSCoPE_Leduc)
i2301,Melanoma(pSCoPE_Leduc)
i2302,Melanoma(pSCoPE_Leduc)
i2303,Melanoma(pSCoPE_Leduc)
i2304,Melanoma(pSCoPE_Leduc)
i2309,U-937(pSCoPE_Leduc)
i231,U-937(pSCoPE_Leduc)
i2310,U-937(pSCoPE_Leduc)
i2312,U-937(pSCoPE_Leduc)
i2314,U-937(pSCoPE_Leduc)
i2316,Melanoma(pSCoPE_Leduc)
i2318,Melanoma(pSCoPE_Leduc)
i232,U-937(pSCoPE_Leduc)
i2320,Melanoma(pSCoPE_Leduc)
i2321,Melanoma(pSCoPE_Leduc)
i2322,U-937(pSCoPE_Leduc)
i2327,U-937(pSCoPE_Leduc)
i2328,U-937(pSCoPE_Leduc)
i2329,U-937(pSCoPE_Leduc)
i233,U-937(pSCoPE_Leduc)
i2330,U-937(pSCoPE_Leduc)
i2331,U-937(pSCoPE_Leduc)
i2334,Melanoma(pSCoPE_Leduc)
i2336,Melanoma(pSCoPE_Leduc)
i2337,Melanoma(pSCoPE_Leduc)
i2338,Melanoma(pSCoPE_Leduc)
i2340,U-937(pSCoPE_Leduc)
i2345,Melanoma(pSCoPE_Leduc)
i2346,Melanoma(pSCoPE_Leduc)
i2347,Melanoma(pSCoPE_Leduc)
i2348,Melanoma(pSCoPE_Leduc)
i2349,Melanoma(pSCoPE_Leduc)
i2350,Melanoma(pSCoPE_Leduc)
i2352,U-937(pSCoPE_Leduc)
i2353,U-937(pSCoPE_Leduc)
i2354,U-937(pSCoPE_Leduc)
i2357,U-937(pSCoPE_Leduc)
i2363,Melanoma(pSCoPE_Leduc)
i2364,Melanoma(pSCoPE_Leduc)
i2365,Melanoma(pSCoPE_Leduc)
i2366,Melanoma(pSCoPE_Leduc)
i2368,Melanoma(pSCoPE_Leduc)
i2369,U-937(pSCoPE_Leduc)
i2370,U-937(pSCoPE_Leduc)
i2371,U-937(pSCoPE_Leduc)
i2372,U-937(pSCoPE_Leduc)
i2373,U-937(pSCoPE_Leduc)
i2374,U-937(pSCoPE_Leduc)
i2376,Melanoma(pSCoPE_Leduc)
i2381,Melanoma(pSCoPE_Leduc)
i2382,Melanoma(pSCoPE_Leduc)
i2383,Melanoma(pSCoPE_Leduc)
i2384,Melanoma(pSCoPE_Leduc)
i2385,U-937(pSCoPE_Leduc)
i2386,U-937(pSCoPE_Leduc)
i2387,U-937(pSCoPE_Leduc)
i2388,U-937(pSCoPE_Leduc)
i239,Melanoma(pSCoPE_Leduc)
i2390,U-937(pSCoPE_Leduc)
i2392,Melanoma(pSCoPE_Leduc)
i2393,Melanoma(pSCoPE_Leduc)
i2394,Melanoma(pSCoPE_Leduc)
i2399,Melanoma(pSCoPE_Leduc)
i24,U-937(pSCoPE_Leduc)
i240,Melanoma(pSCoPE_Leduc)
i2401,Melanoma(pSCoPE_Leduc)
i2402,Melanoma(pSCoPE_Leduc)
i2404,U-937(pSCoPE_Leduc)
i2405,U-937(pSCoPE_Leduc)
i2406,U-937(pSCoPE_Leduc)
i2407,U-937(pSCoPE_Leduc)
i2408,U-937(pSCoPE_Leduc)
i2409,U-937(pSCoPE_Leduc)
i241,Melanoma(pSCoPE_Leduc)
i2411,Melanoma(pSCoPE_Leduc)
i2412,Melanoma(pSCoPE_Leduc)
i242,Melanoma(pSCoPE_Leduc)
i243,Melanoma(pSCoPE_Leduc)
i244,U-937(pSCoPE_Leduc)
i245,U-937(pSCoPE_Leduc)
i246,U-937(pSCoPE_Leduc)
i247,U-937(pSCoPE_Leduc)
i248,U-937(pSCoPE_Leduc)
i249,U-937(pSCoPE_Leduc)
i25,U-937(pSCoPE_Leduc)
i251,Melanoma(pSCoPE_Leduc)
i252,Melanoma(pSCoPE_Leduc)
i257,Melanoma(pSCoPE_Leduc)
i258,Melanoma(pSCoPE_Leduc)
i259,Melanoma(pSCoPE_Leduc)
i26,U-937(pSCoPE_Leduc)
i260,Melanoma(pSCoPE_Leduc)
i261,U-937(pSCoPE_Leduc)
i262,U-937(pSCoPE_Leduc)
i263,U-937(pSCoPE_Leduc)
i264,U-937(pSCoPE_Leduc)
i265,U-937(pSCoPE_Leduc)
i266,U-937(pSCoPE_Leduc)
i268,Melanoma(pSCoPE_Leduc)
i269,Melanoma(pSCoPE_Leduc)
i27,U-937(pSCoPE_Leduc)
i270,Melanoma(pSCoPE_Leduc)
i275,Melanoma(pSCoPE_Leduc)
i276,Melanoma(pSCoPE_Leduc)
i277,Melanoma(pSCoPE_Leduc)
i278,U-937(pSCoPE_Leduc)
i279,U-937(pSCoPE_Leduc)
i280,U-937(pSCoPE_Leduc)
i281,U-937(pSCoPE_Leduc)
i282,U-937(pSCoPE_Leduc)
i283,U-937(pSCoPE_Leduc)
i284,U-937(pSCoPE_Leduc)
i286,Melanoma(pSCoPE_Leduc)
i287,Melanoma(pSCoPE_Leduc)
i288,Melanoma(pSCoPE_Leduc)
i293,U-937(pSCoPE_Leduc)
i294,U-937(pSCoPE_Leduc)
i295,U-937(pSCoPE_Leduc)
i296,U-937(pSCoPE_Leduc)
i297,U-937(pSCoPE_Leduc)
i298,U-937(pSCoPE_Leduc)
i30,Melanoma(pSCoPE_Leduc)
i300,Melanoma(pSCoPE_Leduc)
i301,Melanoma(pSCoPE_Leduc)
i302,Melanoma(pSCoPE_Leduc)
i303,Melanoma(pSCoPE_Leduc)
i304,Melanoma(pSCoPE_Leduc)
i306,U-937(pSCoPE_Leduc)
i31,Melanoma(pSCoPE_Leduc)
i311,U-937(pSCoPE_Leduc)
i312,U-937(pSCoPE_Leduc)
i313,U-937(pSCoPE_Leduc)
i314,U-937(pSCoPE_Leduc)
i315,U-937(pSCoPE_Leduc)
i317,Melanoma(pSCoPE_Leduc)
i318,Melanoma(pSCoPE_Leduc)
i32,Melanoma(pSCoPE_Leduc)
i320,Melanoma(pSCoPE_Leduc)
i321,Melanoma(pSCoPE_Leduc)
i322,Melanoma(pSCoPE_Leduc)
i323,U-937(pSCoPE_Leduc)
i324,U-937(pSCoPE_Leduc)
i329,Melanoma(pSCoPE_Leduc)
i33,Melanoma(pSCoPE_Leduc)
i330,Melanoma(pSCoPE_Leduc)
i331,Melanoma(pSCoPE_Leduc)
i332,Melanoma(pSCoPE_Leduc)
i333,Melanoma(pSCoPE_Leduc)
i334,Melanoma(pSCoPE_Leduc)
i335,Melanoma(pSCoPE_Leduc)
i337,U-937(pSCoPE_Leduc)
i338,U-937(pSCoPE_Leduc)
i339,U-937(pSCoPE_Leduc)
i34,Melanoma(pSCoPE_Leduc)
i340,U-937(pSCoPE_Leduc)
i341,U-937(pSCoPE_Leduc)
i347,Melanoma(pSCoPE_Leduc)
i348,Melanoma(pSCoPE_Leduc)
i35,Melanoma(pSCoPE_Leduc)
i350,Melanoma(pSCoPE_Leduc)
i351,Melanoma(pSCoPE_Leduc)
i352,Melanoma(pSCoPE_Leduc)
i353,U-937(pSCoPE_Leduc)
i354,U-937(pSCoPE_Leduc)
i355,U-937(pSCoPE_Leduc)
i356,U-937(pSCoPE_Leduc)
i357,U-937(pSCoPE_Leduc)
i358,U-937(pSCoPE_Leduc)
i36,U-937(pSCoPE_Leduc)
i360,Melanoma(pSCoPE_Leduc)
i365,Melanoma(pSCoPE_Leduc)
i366,Melanoma(pSCoPE_Leduc)
i367,Melanoma(pSCoPE_Leduc)
i368,Melanoma(pSCoPE_Leduc)
i369,Melanoma(pSCoPE_Leduc)
i370,U-937(pSCoPE_Leduc)
i372,U-937(pSCoPE_Leduc)
i373,U-937(pSCoPE_Leduc)
i374,U-937(pSCoPE_Leduc)
i375,U-937(pSCoPE_Leduc)
i377,Melanoma(pSCoPE_Leduc)
i378,Melanoma(pSCoPE_Leduc)
i383,Melanoma(pSCoPE_Leduc)
i384,Melanoma(pSCoPE_Leduc)
i385,Melanoma(pSCoPE_Leduc)
i386,Melanoma(pSCoPE_Leduc)
i387,U-937(pSCoPE_Leduc)
i389,U-937(pSCoPE_Leduc)
i391,U-937(pSCoPE_Leduc)
i392,U-937(pSCoPE_Leduc)
i394,Melanoma(pSCoPE_Leduc)
i396,Melanoma(pSCoPE_Leduc)
i401,Melanoma(pSCoPE_Leduc)
i402,Melanoma(pSCoPE_Leduc)
i403,Melanoma(pSCoPE_Leduc)
i404,U-937(pSCoPE_Leduc)
i405,U-937(pSCoPE_Leduc)
i406,U-937(pSCoPE_Leduc)
i407,U-937(pSCoPE_Leduc)
i408,U-937(pSCoPE_Leduc)
i409,U-937(pSCoPE_Leduc)
i41,U-937(pSCoPE_Leduc)
i410,U-937(pSCoPE_Leduc)
i411,Melanoma(pSCoPE_Leduc)
i412,Melanoma(pSCoPE_Leduc)
i413,Melanoma(pSCoPE_Leduc)
i414,Melanoma(pSCoPE_Leduc)
i419,Melanoma(pSCoPE_Leduc)
i42,U-937(pSCoPE_Leduc)
i420,U-937(pSCoPE_Leduc)
i421,U-937(pSCoPE_Leduc)
i422,U-937(pSCoPE_Leduc)
i423,U-937(pSCoPE_Leduc)
i424,U-937(pSCoPE_Leduc)
i425,U-937(pSCoPE_Leduc)
i428,Melanoma(pSCoPE_Leduc)
i429,Melanoma(pSCoPE_Leduc)
i43,U-937(pSCoPE_Leduc)
i430,Melanoma(pSCoPE_Leduc)
i431,Melanoma(pSCoPE_Leduc)
i432,Melanoma(pSCoPE_Leduc)
i437,U-937(pSCoPE_Leduc)
i438,U-937(pSCoPE_Leduc)
i439,U-937(pSCoPE_Leduc)
i44,U-937(pSCoPE_Leduc)
i440,U-937(pSCoPE_Leduc)
i441,U-937(pSCoPE_Leduc)
i442,U-937(pSCoPE_Leduc)
i446,Melanoma(pSCoPE_Leduc)
i447,Melanoma(pSCoPE_Leduc)
i449,Melanoma(pSCoPE_Leduc)
i45,U-937(pSCoPE_Leduc)
i450,Melanoma(pSCoPE_Leduc)
i455,U-937(pSCoPE_Leduc)
i456,U-937(pSCoPE_Leduc)
i457,U-937(pSCoPE_Leduc)
i458,U-937(pSCoPE_Leduc)
i459,U-937(pSCoPE_Leduc)
i460,U-937(pSCoPE_Leduc)
i462,Melanoma(pSCoPE_Leduc)
i463,Melanoma(pSCoPE_Leduc)
i464,Melanoma(pSCoPE_Leduc)
i465,Melanoma(pSCoPE_Leduc)
i466,Melanoma(pSCoPE_Leduc)
i467,Melanoma(pSCoPE_Leduc)
i468,U-937(pSCoPE_Leduc)
i47,Melanoma(pSCoPE_Leduc)
i473,U-937(pSCoPE_Leduc)
i474,U-937(pSCoPE_Leduc)
i475,U-937(pSCoPE_Leduc)
i477,U-937(pSCoPE_Leduc)
i479,Melanoma(pSCoPE_Leduc)
i48,Melanoma(pSCoPE_Leduc)
i480,Melanoma(pSCoPE_Leduc)
i481,Melanoma(pSCoPE_Leduc)
i482,Melanoma(pSCoPE_Leduc)
i483,Melanoma(pSCoPE_Leduc)
i484,Melanoma(pSCoPE_Leduc)
i485,U-937(pSCoPE_Leduc)
i486,U-937(pSCoPE_Leduc)
i49,Melanoma(pSCoPE_Leduc)
i491,Melanoma(pSCoPE_Leduc)
i493,Melanoma(pSCoPE_Leduc)
i494,Melanoma(pSCoPE_Leduc)
i495,Melanoma(pSCoPE_Leduc)
i496,Melanoma(pSCoPE_Leduc)
i497,Melanoma(pSCoPE_Leduc)
i499,U-937(pSCoPE_Leduc)
i5,U-937(pSCoPE_Leduc)
i50,Melanoma(pSCoPE_Leduc)
i500,U-937(pSCoPE_Leduc)
i501,U-937(pSCoPE_Leduc)
i502,U-937(pSCoPE_Leduc)
i509,Melanoma(pSCoPE_Leduc)
i51,Melanoma(pSCoPE_Leduc)
i511,Melanoma(pSCoPE_Leduc)
i512,Melanoma(pSCoPE_Leduc)
i513,Melanoma(pSCoPE_Leduc)
i514,Melanoma(pSCoPE_Leduc)
i515,U-937(pSCoPE_Leduc)
i516,U-937(pSCoPE_Leduc)
i517,U-937(pSCoPE_Leduc)
i518,U-937(pSCoPE_Leduc)
i519,U-937(pSCoPE_Leduc)
i52,Melanoma(pSCoPE_Leduc)
i522,Melanoma(pSCoPE_Leduc)
i527,Melanoma(pSCoPE_Leduc)
i528,Melanoma(pSCoPE_Leduc)
i529,Melanoma(pSCoPE_Leduc)
i53,U-937(pSCoPE_Leduc)
i530,Melanoma(pSCoPE_Leduc)
i531,Melanoma(pSCoPE_Leduc)
i532,U-937(pSCoPE_Leduc)
i533,U-937(pSCoPE_Leduc)
i534,U-937(pSCoPE_Leduc)
i536,U-937(pSCoPE_Leduc)
i537,U-937(pSCoPE_Leduc)
i539,Melanoma(pSCoPE_Leduc)
i540,Melanoma(pSCoPE_Leduc)
i545,Melanoma(pSCoPE_Leduc)
i546,Melanoma(pSCoPE_Leduc)
i547,Melanoma(pSCoPE_Leduc)
i549,U-937(pSCoPE_Leduc)
i550,U-937(pSCoPE_Leduc)
i551,U-937(pSCoPE_Leduc)
i552,U-937(pSCoPE_Leduc)
i553,U-937(pSCoPE_Leduc)
i554,U-937(pSCoPE_Leduc)
i556,Melanoma(pSCoPE_Leduc)
i557,Melanoma(pSCoPE_Leduc)
i563,Melanoma(pSCoPE_Leduc)
i564,Melanoma(pSCoPE_Leduc)
i566,U-937(pSCoPE_Leduc)
i567,U-937(pSCoPE_Leduc)
i568,U-937(pSCoPE_Leduc)
i569,U-937(pSCoPE_Leduc)
i570,U-937(pSCoPE_Leduc)
i571,U-937(pSCoPE_Leduc)
i572,U-937(pSCoPE_Leduc)
i573,Melanoma(pSCoPE_Leduc)
i574,Melanoma(pSCoPE_Leduc)
i575,Melanoma(pSCoPE_Leduc)
i576,Melanoma(pSCoPE_Leduc)
i581,Melanoma(pSCoPE_Leduc)
i582,U-937(pSCoPE_Leduc)
i583,U-937(pSCoPE_Leduc)
i584,U-937(pSCoPE_Leduc)
i585,U-937(pSCoPE_Leduc)
i586,U-937(pSCoPE_Leduc)
i587,U-937(pSCoPE_Leduc)
i588,U-937(pSCoPE_Leduc)
i59,Melanoma(pSCoPE_Leduc)
i590,Melanoma(pSCoPE_Leduc)
i591,Melanoma(pSCoPE_Leduc)
i592,Melanoma(pSCoPE_Leduc)
i594,Melanoma(pSCoPE_Leduc)
i599,U-937(pSCoPE_Leduc)
i6,U-937(pSCoPE_Leduc)
i60,Melanoma(pSCoPE_Leduc)
i600,U-937(pSCoPE_Leduc)
i602,U-937(pSCoPE_Leduc)
i603,U-937(pSCoPE_Leduc)
i604,U-937(pSCoPE_Leduc)
